手机,34741
苹果,28165
游戏,25318
iPhone,24493
一个,23730
可以,23488
我们,18923
用户,18581
发布,16784
产品,14801
应用,14303
移动,14103
已经,13782
中国,13574
公司,13533
iPad,12642
大家,11935
关注,11754
自己,11655
这个,11425
没有,11188
一款,11101
就是,10697
三星,10461
使用,10316
推出,10121
10,10061
支持,9958
今天,9943
什么,9903
...,9299
市场,8963
平板,8915
时间,8824
功能,8804
目前,8746
Android,8702
转发,8641
下载,8606
开始,8564
设计,8502
问题,8430
视频,8322
现在,8211
系统,8120
电脑,8051
通过,8011
可能,7983
美国,7948
进行,7937
如果,7924
分享,7835
互联网,7740
诺基亚,7683
谷歌,7569
科技,7459
活动,7448
屏幕,7433
平台,7393
需要,7337
还是,7333
不是,7329
iOS,7318
网站,7265
网络,7233
服务,7006
技术,6872
设备,6789
喜欢,6704
更多,6641
采用,6639
全球,6619
正式,6473
数据,6399
知道,6368
推荐,6347
他们,6326
提供,6275
消息,6229
微软,6229
获得,6184
免费,6181
这款,6134
体验,6126
如何,6111
智能手机,6003
处理器,5978
表示,5959
软件,5939
地址,5915
Windows,5853
2012,5845
成为,5824
GB,5807
照片,5679
很多,5573
以及,5551
信息,5476
世界,5437
HTC,5433
上市,5365
还有,5305
显示,5265
发现,5252
同时,5248
非常,5245
但是,5209
企业,5194
不过,5188
Galaxy,5134
这样,5103
玩家,5041
时候,4990
最新,4977
朋友,4956
来自,4951
售价,4933
价格,4854
媒体,4811
版本,4705
创业,4684
未来,4657
一些,4596
出现,4595
12,4574
这些,4541
机会,4448
不会,4444
因为,4437
今年,4427
国外,4427
Google,4419
社交,4388
之后,4383
电商,4363
工作,4355
拥有,4341
带来,4317
英寸,4315
点击,4311
2013,4293
20,4283
不要,4279
近日,4267
看到,4247
图片,4227
官方,4219
品牌,4203
微博,4189
生活,4133
一样,4125
曝光,4123
一起,4115
正在,4110
不同,4097
选择,4085
升级,4076
广告,4075
内容,4065
营销,4053
宣布,4047
报道,4045
更新,4038
美元,4017
所有,3944
发展,3931
之前,3930
网友,3929
发布会,3928
看看,3925
怎么,3907
小米,3901
北京,3885
模式,3885
了解,3884
一下,3861
11,3848
其中,3837
开发,3835
系列,3823
像素,3811
作为,3810
不能,3810
购买,3800
摄像头,3783
那么,3757
国内,3731
详情,3695
Lumia,3693
一种,3682
开发者,3641
IT,3633
只有,3625
30,3618
微信,3612
成功,3601
起来,3595
回复,3593
消费者,3593
各种,3533
应该,3486
安卓,3483
方式,3473
全新,3473
简单,3451
其实,3438
行业,3423
公布,3421
越狱,3407
最近,3397
一定,3348
腾讯,3331
销售,3314
认为,3308
根据,3304
360,3292
员工,3287
对于,3283
CEO,3273
16,3259
包括,3257
性能,3251
2011,3250
一直,3249
最大,3233
主要,3217
为了,3203
这种,3194
搜索,3178
即将,3159
百度,3153
100,3147
虽然,3145
Facebook,3143
重要,3099
是否,3090
能够,3087
为什么,3059
搭载,3058
小时,3057
电池,3051
客户,3045
超过,3043
希望,3042
研究,3042
索尼,3025
或者,2980
方面,2977
只要,2973
其他,2967
觉得,2939
而且,2922
App,2921
专利,2915
直接,2906
新浪,2888
所以,2886
S4,2881
测试,2866
计划,2865
主题,2861
分析,2859
评测,2857
厂商,2853
